anime_id,title,anime_url,anime_img,episodes,votes,rate,genres,rate_1,rate_2,rate_3,rate_4,rate_5,genre_action,genre_adventure,genre_comedy,genre_drama,genre_family,genre_fantasy,genre_food,genre_harem,genre_historical,genre_horror,genre_idols,genre_isekai,genre_jdrama,genre_magical girls,genre_martial arts,genre_mecha,genre_music,genre_mystery,genre_post-apocalyptic,genre_romance,genre_sci-fi,genre_seinen,genre_sgdrama,genre_shojo,genre_shonen,genre_slice of life,genre_sports,genre_supernatural,genre_thriller
983,Digimon Universe App Monsters,https://www.crunchyroll.com/digimon-universe-app-monsters,https://img1.ak.crunchyroll.com/i/spire2/ba814f4d03f4889fc80818119b116b211570840201_full.jpg,52,9,4.67,action|sci-fi,0,0,1,1,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
984,Always the Two of Us,https://www.crunchyroll.com/always-the-two-of-us,https://img1.ak.crunchyroll.com/i/spire1/cab98bf8719773801529793175fa02a51417459198_full.jpg,12,9,4.44,,0,0,1,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
985,Looking Up at the Half-Moon,https://www.crunchyroll.com/looking-up-at-the-half-moon,https://img1.ak.crunchyroll.com/i/spire1/c0e6bae5712199314801ffa78302823c1474405872_full.jpg,12,9,4.44,comedy|drama|romance,1,0,0,1,7,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
986,Ordinary Miracles,https://www.crunchyroll.com/ordinary-miracles,https://img1.ak.crunchyroll.com/i/spire2/779474fd9fc0cf1d59797fc3a68a36741427227717_full.jpg,12,9,4.33,,1,0,1,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
987,Shonen Ashibe GO! GO! Goma-chan,https://www.crunchyroll.com/shonen-ashibe-go-go-goma-chan,https://img1.ak.crunchyroll.com/i/spire4/c0763707da2f4aeae8ce78642a6248bd1532553588_full.jpg,120,9,4.33,adventure|comedy|slice of life,0,0,2,2,5,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
988,Chrono Crusade,https://www.crunchyroll.com/chrono-crusade,https://img1.ak.crunchyroll.com/i/spire3/d2ee96cf6cb36b452343bedcc216a8621529098728_full.jpg,12,9,4.22,action|adventure|drama|fantasy|romance|supernatural,0,0,1,5,3,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
989,Shamanic Princess,https://www.crunchyroll.com/shamanic-princess,https://img1.ak.crunchyroll.com/i/spire3/8f08b696dab5067e71ef1e3948fb58631382124974_full.jpg,12,9,3.67,action|drama|fantasy|magical girls|romance,0,2,2,2,3,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
990,Dimension High School,https://www.crunchyroll.com/dimension-high-school,https://img1.ak.crunchyroll.com/i/spire2/71eeb4b45b0ad12b409162322d4291771548973453_full.jpg,12,9,3.33,adventure|mystery,2,0,2,3,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
991,Million Arthur,https://www.crunchyroll.com/million-arthur,https://img1.ak.crunchyroll.com/i/spire3/81b58cbd75f2d2501f1f8af0202bacaf1555594918_full.jpg,12,9,3.0,adventure|fantasy,1,4,1,0,3,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
992,Ikemen Sengoku: Bromances Across Time,https://www.crunchyroll.com/ikemen-sengoku-bromances-across-time,https://img1.ak.crunchyroll.com/i/spire4/f0b2bc2e56d907f52c15e7ac5ead7c551499857083_full.jpg,12,8,5.0,comedy|historical|romance,0,0,0,0,8,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
993,Gakuen Alice,https://www.crunchyroll.com/gakuen-alice,https://img1.ak.crunchyroll.com/i/spire3/6930616e551edeb6b2e5ed84f393ec401487113107_full.jpg,12,8,5.0,comedy|shojo,0,0,0,0,8,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
994,Ghostwriter,https://www.crunchyroll.com/ghostwriter,https://img1.ak.crunchyroll.com/i/spire3/52c53764067f56df594793b3b24ca14c1438222793_full.jpg,12,8,5.0,,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
995,Martian Successor Nadesico,https://www.crunchyroll.com/martian-successor-nadesico,https://img1.ak.crunchyroll.com/i/spire4/97a20ba0c347e1b9f16ff4b205bf54a21511794165_full.jpg,12,8,5.0,comedy|mecha|sci-fi,0,0,0,0,8,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
996,PriPri Chi-chan!!,https://www.crunchyroll.com/pripri-chi-chan,https://img1.ak.crunchyroll.com/i/spire3/997cd2a0098ae8c69f927c4d9ddb9fc31492206312_full.jpg,12,8,5.0,comedy|sci-fi|shojo,0,0,0,0,8,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
997,Ultraman Geed,https://www.crunchyroll.com/ultraman-geed,https://img1.ak.crunchyroll.com/i/spire2/a5cba103977a415dfb3140a5e2cc73471499459585_full.jpg,26,8,4.88,action|fantasy|mecha|sci-fi,0,0,0,1,7,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
998,Angel Heart,https://www.crunchyroll.com/angel-heart,https://img1.ak.crunchyroll.com/i/spire1/f651debb0f7a41f394a0ca9efebf88581444430837_full.jpg,12,8,4.88,action,0,0,0,1,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
999,Shin Atashinchi,https://www.crunchyroll.com/shin-atashinchi,https://img1.ak.crunchyroll.com/i/spire1/f81ff79a711c6ffb290742cf86480fa51443057401_full.jpg,26,8,4.88,comedy|slice of life,0,0,0,1,7,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1000,Power Office Girls 2013,https://www.crunchyroll.com/power-office-girls-2013,https://img1.ak.crunchyroll.com/i/spire4/b51d83b1cb4618e0c1b2bf055eeaf5ec1426643495_full.jpg,12,8,4.62,,0,0,0,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1001,You Taught Me All the Precious Things,https://www.crunchyroll.com/you-taught-me-all-the-precious-things,https://img1.ak.crunchyroll.com/i/spire2/143ae0122296a820e50b31664964dfc71429655174_full.jpg,12,8,4.5,,0,0,1,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1002,Kiitaro's yokai picture diary,https://www.crunchyroll.com/kiitaros-yokai-picture-diary,https://img1.ak.crunchyroll.com/i/spire3/4d785b710da19b4df4366eb36402dff61475673477_full.jpg,12,8,4.25,comedy|fantasy|supernatural,1,0,0,2,5,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1003,Working Buddies!,https://www.crunchyroll.com/working-buddies,https://img1.ak.crunchyroll.com/i/spire2/3b08a3f3cc633034743b596e2727c1461515166825_full.jpg,25,8,4.25,comedy|slice of life,0,0,2,2,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1004,"You're Being Summoned, Azazel",https://www.crunchyroll.com/youre-being-summoned-azazel,https://img1.ak.crunchyroll.com/i/spire3/641492583b657de3ba68b82903718f1a1462914624_full.jpg,12,8,4.25,comedy|fantasy|supernatural,1,0,0,2,5,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1005,KOWABON,https://www.crunchyroll.com/kowabon,https://img1.ak.crunchyroll.com/i/spire4/290e141abdcdc83bde29f8e700ebbd051496110322_full.jpg,13,8,4.25,,0,0,2,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1006,Mazinkaiser SKL,https://www.crunchyroll.com/mazinkaiser-skl,https://img1.ak.crunchyroll.com/i/spire4/441cfcd0c990451baee2584c60ee8b7b1363643590_full.jpg,12,8,4.12,action|adventure|mecha|sci-fi|shonen,0,1,1,2,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0
1007,Ai-Mai-Mi Mousou Catastrophe,https://www.crunchyroll.com/ai-mai-mi-mousou-catastrophe,https://img1.ak.crunchyroll.com/i/spire1/76754ee3b0c6d5bc465631812b9569fc1404972910_full.jpg,12,8,3.88,comedy|slice of life,1,0,1,3,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1008,The Nameko Families,https://www.crunchyroll.com/the-nameko-families,https://img1.ak.crunchyroll.com/i/spire1/4d7ef0fc83cac6a46acfe97cee9e5f241427844057_full.jpg,13,8,3.75,comedy|slice of life,1,0,2,2,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
